date,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,solar_rad,year,month,month_name,week,day_of_week,is_rainy_day
2020-01-01,30.13,18.4,0.0,65.83,5.5805,2020,1,January,1,Wednesday,0
2020-01-02,26.93,17.56,0.0,66.13,5.7391,2020,1,January,1,Thursday,0
2020-01-03,27.37,14.78,0.0,64.61,5.6923,2020,1,January,1,Friday,0
2020-01-04,27.1,15.15,0.0,67.28,5.4451,2020,1,January,1,Saturday,0
2020-01-05,29.34,16.91,0.0,66.92,4.9231,2020,1,January,1,Sunday,0
2020-01-06,30.41,19.65,0.0,66.16,5.1526,2020,1,January,2,Monday,0
2020-01-07,29.89,19.96,0.0,63.78,4.4527,2020,1,January,2,Tuesday,0
2020-01-08,29.26,20.17,0.0,65.01,4.8821,2020,1,January,2,Wednesday,0
2020-01-09,30.11,18.33,0.0,67.84,5.3966,2020,1,January,2,Thursday,0
2020-01-10,28.88,21.46,0.0,79.67,4.4851,2020,1,January,2,Friday,0
2020-01-11,29.91,22.7,0.04,87.51,4.5122,2020,1,January,2,Saturday,0
2020-01-12,31.07,22.31,0.01,81.45,4.6313,2020,1,January,2,Sunday,0
2020-01-13,32.92,22.66,0.01,77.91,4.9699,2020,1,January,3,Monday,0
2020-01-14,32.12,23.03,0.01,82.94,5.2214,2020,1,January,3,Tuesday,0
2020-01-15,32.58,23.42,0.02,76.63,5.513,2020,1,January,3,Wednesday,0
2020-01-16,29.85,19.96,0.0,62.7,5.6638,2020,1,January,3,Thursday,0
2020-01-17,30.17,17.8,0.0,60.87,5.5241,2020,1,January,3,Friday,0
2020-01-18,25.92,19.37,0.0,70.02,5.1842,2020,1,January,3,Saturday,0
2020-01-19,29.45,17.41,0.0,60.62,4.854,2020,1,January,3,Sunday,0
2020-01-20,30.25,19.04,0.0,62.28,4.9267,2020,1,January,4,Monday,0
2020-01-21,31.46,21.96,0.0,67.91,4.631,2020,1,January,4,Tuesday,0
2020-01-22,31.15,21.52,0.0,61.25,5.7461,2020,1,January,4,Wednesday,0
2020-01-23,29.94,18.66,0.0,66.66,5.3674,2020,1,January,4,Thursday,0
2020-01-24,30.01,14.39,0.0,61.78,6.2249,2020,1,January,4,Friday,0
2020-01-25,28.91,13.38,0.0,59.62,6.0718,2020,1,January,4,Saturday,0
2020-01-26,29.18,13.49,0.0,58.05,5.681,2020,1,January,4,Sunday,0
2020-01-27,29.54,16.06,0.0,56.67,5.7374,2020,1,January,5,Monday,0
2020-01-28,30.95,17.71,0.0,56.97,5.1329,2020,1,January,5,Tuesday,0
2020-01-29,30.57,16.91,0.0,51.31,4.9111,2020,1,January,5,Wednesday,0
2020-01-30,30.06,17.13,0.0,52.47,5.6827,2020,1,January,5,Thursday,0
2020-01-31,30.37,15.92,0.0,54.35,5.7734,2020,1,January,5,Friday,0
2020-02-01,30.75,15.71,0.0,54.31,5.9918,2020,2,February,5,Saturday,0
2020-02-02,29.37,17.03,0.0,54.01,5.5291,2020,2,February,5,Sunday,0
2020-02-03,31.08,17.92,0.0,64.93,4.849,2020,2,February,6,Monday,0
2020-02-04,30.74,22.04,0.0,80.94,4.8403,2020,2,February,6,Tuesday,0
2020-02-05,31.19,21.18,0.0,69.08,5.6758,2020,2,February,6,Wednesday,0
2020-02-06,31.5,21.3,0.0,64.68,5.4984,2020,2,February,6,Thursday,0
2020-02-07,32.12,19.37,0.0,55.87,4.7988,2020,2,February,6,Friday,0
2020-02-08,31.93,19.39,0.0,64.93,6.0451,2020,2,February,6,Saturday,0
2020-02-09,31.73,20.84,0.0,77.96,5.2531,2020,2,February,6,Sunday,0
2020-02-10,31.1,22.59,0.0,73.78,4.7333,2020,2,February,7,Monday,0
2020-02-11,31.67,19.2,0.0,56.01,4.8146,2020,2,February,7,Tuesday,0
2020-02-12,28.04,19.09,0.0,60.13,4.6678,2020,2,February,7,Wednesday,0
2020-02-13,29.08,17.7,0.0,54.39,4.9241,2020,2,February,7,Thursday,0
2020-02-14,31.34,18.54,0.0,55.71,5.07,2020,2,February,7,Friday,0
2020-02-15,31.46,20.03,0.0,65.25,5.3904,2020,2,February,7,Saturday,0
2020-02-16,31.0,20.71,0.0,80.91,4.3222,2020,2,February,7,Sunday,0
2020-02-17,31.26,22.54,0.0,84.67,4.5103,2020,2,February,8,Monday,0
2020-02-18,30.26,23.6,0.0,85.32,4.2907,2020,2,February,8,Tuesday,0
2020-02-19,31.84,23.35,0.0,81.33,4.5094,2020,2,February,8,Wednesday,0
2020-02-20,32.22,23.11,0.0,73.84,5.4955,2020,2,February,8,Thursday,0
2020-02-21,30.82,21.75,0.0,72.36,4.8718,2020,2,February,8,Friday,0
2020-02-22,32.81,22.19,0.0,78.4,5.0532,2020,2,February,8,Saturday,0
2020-02-23,31.83,24.08,0.0,82.65,5.5939,2020,2,February,8,Sunday,0
2020-02-24,32.22,22.04,0.0,66.47,5.9546,2020,2,February,9,Monday,0
