date,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,solar_rad,year,month,month_name,week,day_of_week,is_rainy_day
2020-06-01,27.83,23.3,6.52,92.3,4.3171,2020,6,June,23,Monday,1
2020-06-02,28.39,23.66,2.79,91.25,5.6105,2020,6,June,23,Tuesday,1
2020-06-03,29.51,23.37,2.46,89.49,5.4434,2020,6,June,23,Wednesday,1
2020-06-04,28.96,24.12,1.89,89.19,4.9457,2020,6,June,23,Thursday,1
2020-06-05,30.25,23.17,7.08,86.05,5.0105,2020,6,June,23,Friday,1
2020-06-06,29.9,23.97,12.56,89.13,4.837,2020,6,June,23,Saturday,1
2020-06-07,30.32,23.07,17.89,85.36,4.7863,2020,6,June,23,Sunday,1
2020-06-08,29.44,23.12,10.98,88.95,5.371,2020,6,June,24,Monday,1
2020-06-09,28.84,22.96,5.83,88.49,5.3578,2020,6,June,24,Tuesday,1
2020-06-10,29.78,22.68,4.7,86.68,5.455,2020,6,June,24,Wednesday,1
2020-06-11,29.55,23.4,7.13,88.05,4.169,2020,6,June,24,Thursday,1
2020-06-12,26.18,22.91,10.66,93.21,3.9002,2020,6,June,24,Friday,1
2020-06-13,29.86,22.1,6.72,86.41,4.7179,2020,6,June,24,Saturday,1
2020-06-14,26.37,23.54,8.49,95.17,4.643,2020,6,June,24,Sunday,1
2020-06-15,31.04,22.72,3.0,85.59,5.6777,2020,6,June,25,Monday,1
2020-06-16,29.21,23.8,4.55,90.12,4.1494,2020,6,June,25,Tuesday,1
2020-06-17,27.76,24.06,7.91,93.41,3.0142,2020,6,June,25,Wednesday,1
2020-06-18,27.63,23.46,4.15,91.27,2.8442,2020,6,June,25,Thursday,1
2020-06-19,29.86,22.59,1.29,85.22,5.1612,2020,6,June,25,Friday,1
2020-06-20,28.97,22.21,8.92,87.57,3.4385,2020,6,June,25,Saturday,1
2020-06-21,27.74,22.35,9.03,90.58,3.8249,2020,6,June,25,Sunday,1
2020-06-22,28.15,22.9,6.26,90.75,2.2538,2020,6,June,26,Monday,1
2020-06-23,30.13,22.49,2.09,85.72,4.8065,2020,6,June,26,Tuesday,1
2020-06-24,28.58,22.59,1.58,88.93,4.7352,2020,6,June,26,Wednesday,1
2020-06-25,29.29,23.15,24.09,90.1,3.7051,2020,6,June,26,Thursday,1
2020-06-26,28.04,23.52,20.79,92.68,4.266,2020,6,June,26,Friday,1
2020-06-27,27.43,22.96,22.79,92.44,5.5764,2020,6,June,26,Saturday,1
2020-06-28,28.97,22.65,27.8,89.25,3.437,2020,6,June,26,Sunday,1
2020-06-29,27.08,22.82,40.54,92.08,3.9653,2020,6,June,27,Monday,1
2020-06-30,26.99,22.04,12.4,90.35,3.1942,2020,6,June,27,Tuesday,1
2020-07-01,28.47,21.75,3.05,84.22,4.4326,2020,7,July,27,Wednesday,1
2020-07-02,29.22,22.75,5.08,87.47,4.5341,2020,7,July,27,Thursday,1
2020-07-03,27.48,23.83,9.49,93.34,4.183,2020,7,July,27,Friday,1
2020-07-04,26.86,23.06,32.61,92.94,2.7845,2020,7,July,27,Saturday,1
2020-07-05,27.42,22.67,10.02,92.2,4.4143,2020,7,July,27,Sunday,1
2020-07-06,28.07,22.57,14.16,90.47,5.0014,2020,7,July,28,Monday,1
2020-07-07,28.4,22.76,15.97,90.85,3.9398,2020,7,July,28,Tuesday,1
2020-07-08,27.37,22.88,10.72,91.99,4.3522,2020,7,July,28,Wednesday,1
2020-07-09,29.2,22.65,15.79,90.62,4.2002,2020,7,July,28,Thursday,1
2020-07-10,25.68,22.87,24.75,94.15,1.8271,2020,7,July,28,Friday,1
2020-07-11,27.26,22.29,6.35,91.68,3.3175,2020,7,July,28,Saturday,1
2020-07-12,28.85,21.84,8.09,88.45,4.6982,2020,7,July,28,Sunday,1
2020-07-13,29.03,22.23,8.25,89.19,4.1918,2020,7,July,29,Monday,1
2020-07-14,26.7,22.71,15.92,92.95,4.0214,2020,7,July,29,Tuesday,1
2020-07-15,27.05,22.32,18.71,91.54,4.2905,2020,7,July,29,Wednesday,1
2020-07-16,28.09,21.92,11.85,89.29,3.4514,2020,7,July,29,Thursday,1
2020-07-17,28.69,21.8,5.64,87.67,3.5455,2020,7,July,29,Friday,1
2020-07-18,27.93,22.3,8.0,88.99,4.3418,2020,7,July,29,Saturday,1
2020-07-19,28.71,22.96,42.87,90.22,4.0061,2020,7,July,29,Sunday,1
2020-07-20,27.07,22.63,22.25,93.0,3.1843,2020,7,July,30,Monday,1
2020-07-21,26.83,22.59,13.82,92.76,3.942,2020,7,July,30,Tuesday,1
2020-07-22,28.25,22.01,5.71,89.27,4.007,2020,7,July,30,Wednesday,1
2020-07-23,28.69,22.38,8.72,90.18,3.7334,2020,7,July,30,Thursday,1
2020-07-24,28.31,22.71,7.69,90.67,4.5962,2020,7,July,30,Friday,1
2020-07-25,27.84,22.9,6.5,90.75,3.6907,2020,7,July,30,Saturday,1
2020-07-26,27.16,22.6,6.79,92.05,4.315,2020,7,July,30,Sunday,1
2020-07-27,27.13,22.46,9.39,92.62,4.0963,2020,7,July,31,Monday,1
2020-07-28,29.16,22.29,7.65,89.96,3.4435,2020,7,July,31,Tuesday,1
2020-07-29,28.57,22.33,3.59,89.52,3.9648,2020,7,July,31,Wednesday,1
2020-07-30,28.93,22.08,6.58,88.99,3.9079,2020,7,July,31,Thursday,1
2020-07-31,27.37,22.22,5.12,91.79,3.533,2020,7,July,31,Friday,1
2020-08-01,29.09,20.98,1.34,87.66,4.1834,2020,8,August,31,Saturday,1
2020-08-02,27.01,21.94,3.37,91.39,3.9252,2020,8,August,31,Sunday,1
2020-08-03,28.66,22.15,2.17,89.23,4.1599,2020,8,August,32,Monday,1
2020-08-04,28.92,21.51,0.1,87.2,5.154,2020,8,August,32,Tuesday,0
2020-08-05,28.67,20.27,0.15,87.23,3.9554,2020,8,August,32,Wednesday,0
2020-08-06,26.28,20.94,0.09,88.52,3.9542,2020,8,August,32,Thursday,0
2020-08-07,27.67,19.74,0.08,87.18,4.0702,2020,8,August,32,Friday,0
2020-08-08,28.88,20.35,0.07,86.9,5.1636,2020,8,August,32,Saturday,0
2020-08-09,28.45,19.93,0.05,85.91,6.0084,2020,8,August,32,Sunday,0
2020-08-10,28.74,19.91,0.24,86.76,4.4237,2020,8,August,33,Monday,0
2020-08-11,29.12,20.59,0.08,86.44,5.479,2020,8,August,33,Tuesday,0
2020-08-12,30.04,19.72,0.03,83.03,6.2568,2020,8,August,33,Wednesday,0
2020-08-13,29.94,20.71,0.12,86.19,4.8782,2020,8,August,33,Thursday,0
2020-08-14,28.32,21.78,1.09,89.04,3.7838,2020,8,August,33,Friday,1
2020-08-15,29.63,20.96,1.15,87.92,4.349,2020,8,August,33,Saturday,1
2020-08-16,29.48,21.33,1.09,86.95,5.028,2020,8,August,33,Sunday,1
2020-08-17,29.99,21.52,4.12,87.47,4.1105,2020,8,August,34,Monday,1
